,hidden_layer_1_neurons,hidden_layer_2_neurons,hidden_layer_3_neurons,total_hidden_neurons,neurons_per_layer,activation,model_ID,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,eval_run
0,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_MAE,8.830156464455605,pytorch,MAE,False,1.0
1,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_MAE,8.831609487309281,pytorch,MAE,False,1.0
2,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_MAE,8.842277311538595,pytorch,MAE,False,1.0
3,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_MAE,1.0056899925048932,pytorch,MAE,True,1.0
4,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_MAE,1.0058554811401972,pytorch,MAE,True,1.0
5,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_MAE,1.007070467999423,pytorch,MAE,True,1.0
6,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_model_size,331647.0,pytorch,model_size,False,1.0
7,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_model_size,331647.0,pytorch,model_size,False,1.0
8,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_model_size,331647.0,pytorch,model_size,False,1.0
9,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_median_latency,0.00047507137060165405,pytorch,median_latency,False,1.0
10,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_median_latency,0.0005194079130887985,pytorch,median_latency,False,1.0
11,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_median_latency,0.01257454976439476,pytorch,median_latency,False,1.0
12,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p95_latency,0.00048574134707450866,pytorch,p95_latency,False,1.0
13,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p95_latency,0.0005291057750582695,pytorch,p95_latency,False,1.0
14,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p95_latency,0.012792244181036949,pytorch,p95_latency,False,1.0
15,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p99_latency,0.0004897107183933258,pytorch,p99_latency,False,1.0
16,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p99_latency,0.0005337100476026535,pytorch,p99_latency,False,1.0
17,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p99_latency,0.013929668925702571,pytorch,p99_latency,False,1.0
18,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
19,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
20,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
21,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_median_latency,3.0276828110161444,pytorch,median_latency,True,1.0
22,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_median_latency,3.310244539411206,pytorch,median_latency,True,1.0
23,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_median_latency,80.13900759734094,pytorch,median_latency,True,1.0
24,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p95_latency,2.861542715685242,pytorch,p95_latency,True,1.0
25,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p95_latency,3.1170061712138772,pytorch,p95_latency,True,1.0
26,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_p95_latency,75.36017548017838,pytorch,p95_latency,True,1.0
27,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p99_latency,2.845595958109109,pytorch,p99_latency,True,1.0
28,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p99_latency,3.1012659049878564,pytorch,p99_latency,True,1.0
29,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_p99_latency,80.9420911243782,pytorch,p99_latency,True,1.0
30,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_MAE,9.010319018072378,pytorch,MAE,False,2.0
31,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_MAE,9.012910629372943,pytorch,MAE,False,2.0
32,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_MAE,9.011414148397078,pytorch,MAE,False,2.0
33,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_MAE,1.0050368961293423,pytorch,MAE,True,2.0
34,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_MAE,1.0053259719070444,pytorch,MAE,True,2.0
35,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_MAE,1.0051590501152539,pytorch,MAE,True,2.0
36,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_model_size,331647.0,pytorch,model_size,False,2.0
37,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_model_size,331647.0,pytorch,model_size,False,2.0
38,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_model_size,331647.0,pytorch,model_size,False,2.0
39,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_median_latency,0.0004366021603345871,pytorch,median_latency,False,2.0
40,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_median_latency,0.0005246531218290329,pytorch,median_latency,False,2.0
41,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_median_latency,0.012582166120409966,pytorch,median_latency,False,2.0
42,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p95_latency,0.0004735792055726051,pytorch,p95_latency,False,2.0
43,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p95_latency,0.0005926344543695449,pytorch,p95_latency,False,2.0
44,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p95_latency,0.012776865623891354,pytorch,p95_latency,False,2.0
45,528,446,117,1091,"[528, 446, 117]",gelu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p99_latency,0.00048441585153341293,pytorch,p99_latency,False,2.0
