,hidden_layer_1_neurons,hidden_layer_2_neurons,hidden_layer_3_neurons,total_hidden_neurons,neurons_per_layer,activation,model_ID,config_name,precision,bits_per_weight,dynamic_calibration,weight_only,metric,value,runtime,base_metric,relative,eval_run
0,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_MAE,8.16116894984851,pytorch,MAE,False,1.0
1,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_MAE,8.253579470759165,pytorch,MAE,False,1.0
2,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_MAE,8.173315111018528,pytorch,MAE,False,1.0
3,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_MAE,1.0008264142605094,pytorch,MAE,True,1.0
4,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_MAE,1.0121589685614072,pytorch,MAE,True,1.0
5,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_MAE,1.0023159311428975,pytorch,MAE,True,1.0
6,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_model_size,70137.0,pytorch,model_size,False,1.0
7,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_model_size,70137.0,pytorch,model_size,False,1.0
8,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_model_size,70137.0,pytorch,model_size,False,1.0
9,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_median_latency,0.0004623681306838989,pytorch,median_latency,False,1.0
10,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_median_latency,0.0005042161792516708,pytorch,median_latency,False,1.0
11,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_median_latency,0.006980635225772858,pytorch,median_latency,False,1.0
12,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p95_latency,0.0004729049280285835,pytorch,p95_latency,False,1.0
13,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p95_latency,0.0005134431645274163,pytorch,p95_latency,False,1.0
14,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p95_latency,0.007109098508954048,pytorch,p95_latency,False,1.0
15,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p99_latency,0.00047486945986747743,pytorch,p99_latency,False,1.0
16,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p99_latency,0.000521341860294342,pytorch,p99_latency,False,1.0
17,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p99_latency,0.007424926869571207,pytorch,p99_latency,False,1.0
18,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
19,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
20,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,1.0
21,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_median_latency,2.947458411997293,pytorch,median_latency,True,1.0
22,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_median_latency,3.2142271933886652,pytorch,median_latency,True,1.0
23,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_median_latency,44.499459741863475,pytorch,median_latency,True,1.0
24,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p95_latency,2.82902220082813,pytorch,p95_latency,True,1.0
25,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p95_latency,3.0715309256065004,pytorch,p95_latency,True,1.0
26,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_p95_latency,42.52820454535325,pytorch,p95_latency,True,1.0
27,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p99_latency,2.7645374729747347,pytorch,p99_latency,True,1.0
28,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p99_latency,3.035084861882431,pytorch,p99_latency,True,1.0
29,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_p99_latency,43.22553943720649,pytorch,p99_latency,True,1.0
30,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_MAE,8.27535791118977,pytorch,MAE,False,2.0
31,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_MAE,8.384165199545343,pytorch,MAE,False,2.0
32,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_MAE,8.275725658054299,pytorch,MAE,False,2.0
33,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_MAE,1.0010446931454682,pytorch,MAE,True,2.0
34,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_MAE,1.0142067774628865,pytorch,MAE,True,2.0
35,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_MAE,1.001089178356997,pytorch,MAE,True,2.0
36,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_model_size,70137.0,pytorch,model_size,False,2.0
37,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_model_size,70137.0,pytorch,model_size,False,2.0
38,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_model_size,70137.0,pytorch,model_size,False,2.0
39,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_median_latency,0.0003962162882089615,pytorch,median_latency,False,2.0
40,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_median_latency,0.00048643723130226135,pytorch,median_latency,False,2.0
41,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_median_latency,0.006908010691404343,pytorch,median_latency,False,2.0
42,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p95_latency,0.00040858648717403414,pytorch,p95_latency,False,2.0
43,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p95_latency,0.0004947649314999581,pytorch,p95_latency,False,2.0
44,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p95_latency,0.007051978819072246,pytorch,p95_latency,False,2.0
45,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_quantized_p99_latency,0.00041113603860139843,pytorch,p99_latency,False,2.0
46,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_quantized_p99_latency,0.0005009874701499939,pytorch,p99_latency,False,2.0
47,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_quantized_p99_latency,0.007599772512912748,pytorch,p99_latency,False,2.0
48,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,2.0
49,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,2.0
50,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_model_size,0.25,pytorch,model_size,True,2.0
51,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_median_latency,2.6463592142421715,pytorch,median_latency,True,2.0
52,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_median_latency,3.248951866734676,pytorch,median_latency,True,2.0
53,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_median_latency,46.13913735833095,pytorch,median_latency,True,2.0
54,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p95_latency,2.5371589970644775,pytorch,p95_latency,True,2.0
55,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p95_latency,3.0722927379936205,pytorch,p95_latency,True,2.0
56,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8DynamicActivationInt8WeightConfig,int8,8.0,True,False,pytorch_relative_p95_latency,43.78997365200756,pytorch,p95_latency,True,2.0
57,128,296,72,496,"[128, 296, 72]",relu,model_1,Int8WeightOnlyConfig,int8,8.0,False,False,pytorch_relative_p99_latency,2.5238966762731483,pytorch,p99_latency,True,2.0
58,128,296,72,496,"[128, 296, 72]",relu,model_1,Float8WeightOnlyConfig,float8,8.0,False,False,pytorch_relative_p99_latency,3.075479870525176,pytorch,p99_latency,True,2.0
