epoch,step,test_loss,train_loss_epoch,train_loss_step,valid_loss
0,49,,,30.914154052734375,
0,99,,,35.123016357421875,
0,149,,,28.65593719482422,
0,199,,,23.386890411376953,
0,239,,,,19.573383331298828
0,239,,28.656553268432617,,
1,249,,,18.024641036987305,
1,299,,,13.12225341796875,
1,349,,,9.507739067077637,
1,399,,,9.740697860717773,
1,449,,,9.988151550292969,
1,479,,,,10.564728736877441
1,479,,13.722721099853516,,
2,499,,,8.975641250610352,
2,549,,,8.001253128051758,
2,599,,,12.790002822875977,
2,649,,,8.643811225891113,
2,699,,,8.421477317810059,
2,719,,,,10.154863357543945
2,719,,9.964540481567383,,
3,749,,,7.018218040466309,
3,799,,,8.987560272216797,
3,849,,,7.950576305389404,
3,899,,,12.903849601745605,
3,949,,,9.521050453186035,
3,959,,,,9.276942253112793
3,959,,9.433874130249023,,
4,999,,,9.574660301208496,
4,1049,,,8.299909591674805,
4,1099,,,7.367396354675293,
4,1149,,,9.428215026855469,
4,1199,,,11.521696090698242,
4,1199,,,,9.272433280944824
4,1199,,9.158329010009766,,
5,1249,,,9.939682006835938,
5,1299,,,10.291419982910156,
5,1349,,,8.454120635986328,
5,1399,,,7.993199348449707,
5,1439,,,,8.796527862548828
5,1439,,8.944036483764648,,
6,1449,,,10.03317928314209,
6,1499,,,6.606564521789551,
6,1549,,,6.9936137199401855,
6,1599,,,7.586879730224609,
6,1649,,,8.440650939941406,
6,1679,,,,8.829719543457031
6,1679,,8.799989700317383,,
7,1699,,,7.812155723571777,
7,1749,,,8.425849914550781,
7,1799,,,10.833703994750977,
7,1849,,,7.188776016235352,
7,1899,,,6.3502607345581055,
7,1919,,,,9.249550819396973
7,1919,,8.645719528198242,,
8,1949,,,5.798915863037109,
8,1999,,,8.134078025817871,
8,2049,,,7.129658222198486,
8,2099,,,12.23831844329834,
8,2149,,,8.804061889648438,
8,2159,,,,8.39875602722168
8,2159,,8.517036437988281,,
9,2199,,,9.116201400756836,
9,2249,,,7.603069305419922,
9,2299,,,6.86109733581543,
9,2349,,,8.662467956542969,
9,2399,,,9.618349075317383,
9,2399,,,,8.72244930267334
9,2399,,8.420981407165527,,
10,2449,,,9.247842788696289,
10,2499,,,10.016555786132812,
10,2549,,,7.397376537322998,
10,2599,,,7.2479753494262695,
10,2639,,,,9.106982231140137
10,2639,,8.306706428527832,,
11,2649,,,8.927653312683105,
11,2699,,,6.297521591186523,
11,2749,,,6.1691460609436035,
11,2799,,,7.534016132354736,
11,2849,,,7.76068639755249,
11,2879,,,,8.199061393737793
11,2879,,8.241873741149902,,
12,2899,,,6.954041481018066,
12,2949,,,7.614954948425293,
12,2999,,,9.97223949432373,
12,3049,,,6.940861701965332,
12,3099,,,6.216396331787109,
12,3119,,,,8.61176586151123
12,3119,,8.177977561950684,,
13,3149,,,6.005661487579346,
13,3199,,,8.082740783691406,
13,3249,,,6.764345169067383,
13,3299,,,11.685791969299316,
13,3349,,,8.58144760131836,
13,3359,,,,8.260356903076172
13,3359,,8.0958251953125,,
14,3399,,,8.66317367553711,
14,3449,,,7.28184700012207,
14,3499,,,6.30661678314209,
14,3549,,,8.648090362548828,
14,3599,,,9.543571472167969,
14,3599,,,,8.140091896057129
14,3599,,8.011736869812012,,
15,3649,,,8.847476959228516,
15,3699,,,9.347481727600098,
15,3749,,,7.138934135437012,
15,3799,,,6.873061180114746,
15,3839,,,,8.575928688049316
15,3839,,7.910832405090332,,
16,3849,,,8.309349060058594,
16,3899,,,5.679068088531494,
16,3949,,,5.642416954040527,
16,3999,,,7.222805023193359,
16,4049,,,7.4109392166137695,
16,4079,,,,8.337797164916992
16,4079,,7.868919372558594,,
17,4099,,,6.8327226638793945,
17,4149,,,7.662120342254639,
17,4199,,,10.01689624786377,
17,4249,,,6.958322525024414,
17,4299,,,5.955225944519043,
17,4319,,,,8.142196655273438
17,4319,,7.812126636505127,,
18,4349,,,5.935037612915039,
18,4399,,,7.830445289611816,
18,4449,,,5.985459327697754,
18,4499,,,11.322632789611816,
18,4549,,,8.427787780761719,
18,4559,,,,8.510377883911133
18,4559,,7.740640640258789,,
19,4599,,,8.573342323303223,
19,4649,,,6.875543117523193,
19,4699,,,6.0496368408203125,
19,4749,,,8.24402904510498,
19,4799,,,7.885312557220459,
19,4799,,,,8.389725685119629
19,4799,,7.648736000061035,,
20,4849,,,8.84916877746582,
20,4899,,,8.917016983032227,
20,4949,,,7.124257564544678,
20,4999,,,6.57833194732666,
20,5039,,,,8.378646850585938
20,5039,,7.640340805053711,,
21,5049,,,8.369279861450195,
21,5099,,,4.990686416625977,
21,5149,,,5.553339958190918,
21,5199,,,6.764394760131836,
21,5249,,,7.70785665512085,
21,5279,,,,8.812004089355469
21,5279,,7.562097072601318,,
22,5299,,,5.928025245666504,
22,5349,,,7.160447120666504,
22,5399,,,9.337483406066895,
22,5449,,,6.475285053253174,
22,5499,,,5.770720481872559,
22,5519,,,,8.863424301147461
22,5519,,7.487541675567627,,
23,5549,,,5.42365837097168,
23,5599,,,7.809924125671387,
23,5649,,,5.799130916595459,
23,5699,,,11.058698654174805,
23,5749,,,8.374837875366211,
23,5759,,,,8.12840747833252
23,5759,,7.490109920501709,,
24,5799,,,7.974282264709473,
24,5849,,,7.037497520446777,
24,5899,,,5.471035957336426,
24,5949,,,8.185474395751953,
24,5999,,,6.790669918060303,
24,5999,,,,8.358622550964355
24,5999,,7.427669525146484,,
25,6000,7.929712295532227,,,
